#{"t_start": 1789919805.2023544, "env_id": "None"}
r,l,t
31.65,500,7150.102262
30.7,500,7180.083227
31.65,500,7210.104265
31.65,500,7240.153367
32.6,500,7270.065917
30.7,500,7299.977681
31.65,500,7329.874532
31.65,500,7359.849116
31.65,500,7389.721105
31.65,500,7419.700285
19.55,478,7449.539583
11.85,362,7479.118186
31.65,500,7509.042431
-1.25,157,7509.339635
31.65,500,7539.351665
30.7,500,7569.41258
31.65,500,7599.424804
10.65,338,7629.028065
-2.5,132,7629.275712
-2.8,126,7629.510691
32.6,500,7659.505408
31.65,500,7689.406124
16.35,433,7719.29234
31.65,500,7749.505293
2.8,219,7749.917623
31.65,500,7779.685798
30.7,500,7809.811442
31.65,500,7839.88192
32.6,500,7869.744565
31.65,500,7899.79841
30.7,500,7929.874594
31.65,500,7959.834274
6.6,276,7989.286448
30.7,500,8019.232277
-2.95,123,8019.463834
-7.2,57,8019.570972
7.95,284,8020.10294
31.65,500,8049.992496
31.65,500,8079.851557
31.65,500,8109.714979
-2.05,141,8138.93938
31.65,500,8168.910218
31.65,500,8198.817508
30.7,500,8228.801632
31.65,500,8258.890027
15.4,414,8259.666931
30.7,500,8289.791831
31.65,500,8319.818405
31.65,500,8349.654652
31.65,500,8379.702251
31.65,500,8409.636927
30.7,500,8439.621325
30.7,500,8469.533827
31.65,500,8499.554102
31.65,500,8529.535857
31.65,500,8559.612769
31.65,500,8589.57248
31.65,500,8619.506754
-3.15,119,8619.730772
31.65,500,8649.76529
31.65,500,8679.802047
31.65,500,8709.855262
32.6,500,8739.925767
31.65,500,8769.910611
