node_index,root_id,type,family,role,side
9708,720575940632619172,T5a,T5 Neuron,input,left
9709,720575940632623943,T4d,T4 Neuron,input,right
9710,720575940632626479,T4c,T4 Neuron,input,left
9711,720575940632628684,T5a,T5 Neuron,input,right
9712,720575940632629551,T4c,T4 Neuron,input,right
9713,720575940632630611,T5b,T5 Neuron,input,right
9714,720575940632632365,T5b,T5 Neuron,input,right
9715,720575940632634707,T4c,T4 Neuron,input,left
9716,720575940632638253,T5b,T5 Neuron,input,right
9717,720575940632642847,T4d,T4 Neuron,input,left
9718,720575940632643245,T4a,T4 Neuron,input,right
9719,720575940632643501,T5b,T5 Neuron,input,right
9720,720575940632651940,T5a,T5 Neuron,input,left
9721,720575940632653112,T5d,T5 Neuron,input,left
9722,720575940632655955,T5d,T5 Neuron,input,left
9723,720575940632661412,T4b,T4 Neuron,input,right
9724,720575940632661452,T5a,T5 Neuron,input,right
9725,720575940632661587,T4a,T4 Neuron,input,left
9726,720575940632665252,T4b,T4 Neuron,input,right
9727,720575940632665548,T4a,T4 Neuron,input,left
9728,720575940632668753,T4a,T4 Neuron,input,left
